,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region
2887,4570,HOUSE,APARTMENT_BLOCK,835000.0,16,614.0,0,0,0,1,100.0,1,600.0,1600.0,4.0,0,,Marchin,Non,MARCHIN,LIEGE,WALLONIE
2888,1180,APARTMENT,APARTMENT,700000.0,3,145.0,1,0,1,1,8.0,0,,,2.0,0,AS_NEW,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
2889,6041,HOUSE,VILLA,300000.0,4,175.0,0,0,1,1,,1,,1200.0,4.0,0,GOOD,Gosselies,Oui,CHARLEROI,HAINAUT,WALLONIE
2890,8800,HOUSE,HOUSE,290500.0,4,206.0,0,0,0,0,,0,,200.0,2.0,0,AS_NEW,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN
2891,2280,HOUSE,VILLA,715000.0,3,306.0,1,0,0,0,,1,,1542.0,4.0,1,AS_NEW,Grobbendonk,Non,GROBBENDONK,ANVERS,VLAANDEREN
2892,2800,APARTMENT,APARTMENT,259000.0,2,78.0,0,0,0,1,7.0,0,,,,0,,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN
2893,7340,HOUSE,VILLA,295000.0,3,240.0,1,0,0,1,,0,,640.0,4.0,0,GOOD,Colfontaine,Non,COLFONTAINE,HAINAUT,WALLONIE
2894,8820,APARTMENT,GROUND_FLOOR,199500.0,2,77.0,1,0,0,1,,1,44.0,,,0,GOOD,Torhout,Non,TORHOUT,FLANDRE-OCCIDENTALE,VLAANDEREN
2895,9500,HOUSE,HOUSE,290000.0,3,221.0,1,0,0,0,,1,,317.0,3.0,0,TO_BE_DONE_UP,Geraardsbergen,Non,GERAARDSBERGEN,FLANDRE-ORIENTALE,VLAANDEREN
2896,1540,HOUSE,MIXED_USE_BUILDING,1370000.0,9,230.0,1,0,0,1,,0,,25457.0,4.0,0,,Herne,Non,HERNE,BRABANT FLAMAND,VLAANDEREN
2897,9160,HOUSE,HOUSE,299000.0,2,,0,0,0,1,25.0,1,400.0,601.0,3.0,0,GOOD,Lokeren,Non,LOKEREN,FLANDRE-ORIENTALE,VLAANDEREN
2898,9230,HOUSE,APARTMENT_BLOCK,280000.0,2,80.0,0,0,0,0,,0,,0.0,2.0,0,GOOD,Wetteren,Non,WETTEREN,FLANDRE-ORIENTALE,VLAANDEREN
2899,2100,APARTMENT,APARTMENT,159000.0,2,84.0,0,0,0,0,,0,,,2.0,0,GOOD,Deurne,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2900,9290,HOUSE,HOUSE,379000.0,3,185.0,1,0,0,0,,1,,480.0,3.0,0,JUST_RENOVATED,Berlare,Non,BERLARE,FLANDRE-ORIENTALE,VLAANDEREN
2901,7012,HOUSE,HOUSE,100000.0,3,91.0,1,0,0,0,,0,,107.0,2.0,0,GOOD,Flénu,Oui,MONS,HAINAUT,WALLONIE
2902,1640,HOUSE,HOUSE,1475000.0,7,500.0,1,0,0,1,,1,2525.0,2525.0,4.0,0,GOOD,Rhode-Saint-Genèse,Non,RHODE-SAINT-GENÈSE,BRABANT FLAMAND,VLAANDEREN
2903,9600,HOUSE,MANSION,299000.0,4,212.0,1,0,0,1,,1,,261.0,2.0,0,JUST_RENOVATED,Renaix,Non,RENAIX,FLANDRE-ORIENTALE,VLAANDEREN
2904,9050,HOUSE,HOUSE,230000.0,1,80.0,1,0,0,1,12.0,0,,0.0,2.0,0,GOOD,Gentbrugge,Oui,GENT,FLANDRE-ORIENTALE,VLAANDEREN
2905,7971,HOUSE,HOUSE,170000.0,2,160.0,1,0,0,1,,0,,490.0,3.0,0,GOOD,Basècles,Oui,BELOEIL,HAINAUT,WALLONIE
2906,2800,HOUSE,HOUSE,235000.0,2,,0,0,0,0,,0,,657.0,4.0,0,,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN
2907,2870,APARTMENT,APARTMENT,349000.0,2,95.0,1,0,0,1,27.0,0,,,4.0,0,,Breendonk,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2908,1160,APARTMENT,PENTHOUSE,799000.0,3,164.0,0,0,0,1,20.0,0,,,,0,AS_NEW,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES
2909,9850,HOUSE,HOUSE,420000.0,0,,0,0,0,1,,0,,4720.0,4.0,0,TO_RENOVATE,Hansbeke,Oui,DEINZE,FLANDRE-ORIENTALE,VLAANDEREN
2910,8211,APARTMENT,PENTHOUSE,425000.0,3,144.0,1,0,0,0,,0,,,2.0,0,GOOD,Aartrijke,Oui,ZEDELGEM,FLANDRE-OCCIDENTALE,VLAANDEREN
2911,8791,APARTMENT,APARTMENT,249376.0,2,99.0,1,0,0,1,,0,,,,0,,Beveren,Oui,WAREGEM,FLANDRE-OCCIDENTALE,VLAANDEREN
2912,4170,HOUSE,APARTMENT_BLOCK,350000.0,4,381.0,1,0,0,1,,0,,706.0,4.0,0,GOOD,Comblain-Au-Pont,Non,COMBLAIN-AU-PONT,LIEGE,WALLONIE
2913,9400,APARTMENT,APARTMENT,225000.0,2,75.0,1,0,0,1,15.0,0,,,,0,GOOD,Ninove,Non,NINOVE,FLANDRE-ORIENTALE,VLAANDEREN
2914,3270,HOUSE,HOUSE,200000.0,3,,1,0,0,0,,0,,684.0,4.0,0,,Scherpenheuvel,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
2915,6210,HOUSE,HOUSE,179000.0,3,120.0,0,0,0,0,,0,,723.0,,0,,Frasnes-Lez-Gosselies,Oui,LES BONS VILLERS,HAINAUT,WALLONIE
2916,1180,APARTMENT,APARTMENT,265000.0,2,75.0,1,0,0,0,,0,,,2.0,0,GOOD,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
2917,9450,HOUSE,HOUSE,269000.0,3,170.0,0,0,0,1,,1,,175.0,,0,TO_BE_DONE_UP,Haaltert,Non,HAALTERT,FLANDRE-ORIENTALE,VLAANDEREN
2918,1180,APARTMENT,APARTMENT,457500.0,3,116.0,1,0,0,1,9.0,1,237.0,,2.0,0,AS_NEW,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
2919,8400,APARTMENT,APARTMENT,230000.0,2,80.0,1,0,0,1,2.0,0,,,2.0,0,GOOD,Oostende,Non,OOSTENDE,FLANDRE-OCCIDENTALE,VLAANDEREN
2920,9820,APARTMENT,APARTMENT,195000.0,1,57.0,1,0,0,0,,0,,,,0,,Merelbeke,Non,MERELBEKE,FLANDRE-ORIENTALE,VLAANDEREN
2921,2610,APARTMENT,APARTMENT,259000.0,2,90.0,1,0,0,0,,0,,,,0,GOOD,Wilrijk,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2922,8300,HOUSE,VILLA,6900000.0,7,463.0,0,0,0,1,,0,,1083.0,4.0,0,AS_NEW,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN
2923,2300,APARTMENT,KOT,495000.0,14,,0,1,0,0,,0,,,2.0,0,GOOD,Turnhout,Non,TURNHOUT,ANVERS,VLAANDEREN
2924,9620,APARTMENT,APARTMENT,465000.0,3,157.0,1,0,0,1,120.0,0,,,3.0,0,AS_NEW,Zottegem,Non,ZOTTEGEM,FLANDRE-ORIENTALE,VLAANDEREN
